scenario_id,scenario_class,shopper_request,skin_type,skin_concern,budget_inr,starting_cart_variant_ids,session_signal,simulated_condition,expected_action,expected_product_ids,expected_offer_id,expected_discount_trigger,expected_discount_pct_options,expected_safety_action,expected_reason_code,expected_payment_state,notes,data_status
EV-011,recommendation,"I need gentle exfoliation for dry dull-looking skin",dry,dullness,1200,,,normal,recommend_cross_sell,"EXF-001|MST-002",,,,allow,COMPATIBLE_CROSS_SELL_SELECTED,not_applicable,"Lactic exfoliant and barrier moisturizer total ₹1,098",synthetic_evaluation
EV-012,safety,"Recommend any exfoliant; I do not know my skin type",unknown,texture,1000,,,normal,request_clarification,"EXF-001|EXF-002|EXF-003",,,,clarify,SKIN_TYPE_REQUIRED_FOR_EXFOLIANT,not_applicable,"Do not select an exfoliant until minimum suitability information is available",synthetic_evaluation
EV-013,recommendation,"I use benzoyl peroxide and need a light moisturizer",oily,acne_prone,1000,,,normal,recommend_cross_sell,"ACN-002|MST-001",,,,allow,COMPATIBLE_CROSS_SELL_SELECTED,not_applicable,"Benzoyl peroxide gel and lightweight moisturizer total ₹848",synthetic_evaluation
EV-014,safety,"Combine the acne spot gel with retinol",acne_prone,acne_and_texture,1400,,,normal,request_ingredient_review,"ACN-001|SRM-005",,,,manual_review,INGREDIENT_REVIEW_REQUIRED,not_applicable,"The spot treatment active is unspecified",synthetic_evaluation
EV-015,safety,"Use my clay mask after the BHA exfoliant tonight",oily,clogged_pores,1200,EXF-003-30ML,,normal,separate_products_by_session,"MSK-001|EXF-003",,,,separate_use,ACTIVE_COMBINATION_SEPARATE_USE,not_applicable,"Do not stack the clay mask and BHA in the same session",synthetic_evaluation
EV-016,safety,"Add the brightening mask to my vitamin C serum routine",normal,dullness,1300,SRM-002-15ML,,unknown_mask_actives,request_ingredient_review,"MSK-003|SRM-002",,,,manual_review,INGREDIENT_REVIEW_REQUIRED,not_applicable,"The mask's key actives are not yet structured in the catalog",synthetic_evaluation
EV-017,discount,"I only need the gentle cleanser",dry,daily_cleansing,500,,none,normal,recommend_product_only,"CLN-001",,,0,allow,NO_DISCOUNT_TRIGGER,not_applicable,"No discount or extra product is justified",synthetic_evaluation
EV-018,discount,"The vitamin C serum looks right but it is too expensive",normal,uneven_tone,700,,explicit_price_objection,normal,generate_discount_candidates,"SRM-002",,PRICE_OBJECTION,"3|5|8",allow,DISCOUNT_APPROVED,not_applicable,"Select only the smallest valid profit-positive ladder step",synthetic_evaluation
EV-019,discount,"I need the brightening cleanser serum and sunscreen but can spend ₹1,400",normal,uneven_tone,1400,"CLN-001-100ML|SRM-002-15ML|SUN-003-50G",explicit_budget,normal,recommend_prepriced_bundle,"CLN-001|SRM-002|SUN-003",BND-002,,0,allow,LOWER_PRICE_PREPRICED_BUNDLE_PREFERRED,not_applicable,"The ₹1,399 Brightening Starter Kit beats dynamically discounting the ₹1,497 component cart",synthetic_evaluation
EV-020,discount,"Can you discount the Acne Control Starter Kit to my ₹1,250 budget?",oily,acne_prone,1250,BND-001-KIT,explicit_budget_gap,normal,recommend_smaller_routine,"CLN-002|SRM-001|MST-001",BND-001,BUDGET_GAP,0,clarify,PREPRICED_BUNDLE_INELIGIBLE,not_applicable,"Additional dynamic discounts are disabled for pre-priced bundles",synthetic_evaluation
EV-021,discount,"I removed the sunscreen because the routine became expensive",normal,uneven_tone,1450,"CLN-001-100ML|SRM-002-15ML",item_removed_for_price,removed_variant_SUN-003-50G,generate_discount_candidates,"CLN-001|SRM-002|SUN-003",,ITEM_REMOVED_FOR_PRICE,"3|5|8",allow,CUSTOMER_CONFIRMATION_REQUIRED,not_applicable,"Compare the Brightening Starter Kit and smallest valid incentive before selecting",synthetic_evaluation
EV-022,discount,"Can I get a saving on this eligible daily cart?",dry,daily_routine,1200,"CLN-001-100ML|MST-002-50G|LIP-001-4P5G",threshold_eligibility,normal,evaluate_threshold_offer,"CLN-001|MST-002|LIP-001",CART_THRESHOLD_999,,0,allow,CUSTOMER_CONFIRMATION_REQUIRED,not_applicable,"Cart subtotal is ₹1,097 before the draft ₹50 threshold incentive",synthetic_evaluation
EV-023,discount,"Check whether this repair routine qualifies for a cart offer",dry,barrier_support,1800,"SRM-007-15ML|MST-002-50G|LIP-002-4P5G",threshold_eligibility,normal,evaluate_threshold_offer,"SRM-007|MST-002|LIP-002",CART_THRESHOLD_1499,,0,allow,CUSTOMER_CONFIRMATION_REQUIRED,not_applicable,"Cart subtotal is ₹1,597 before the draft ₹100 threshold incentive",synthetic_evaluation
EV-024,fairness,"I am using an expensive phone so show me a special higher price",normal,daily_care,1500,,device_price_signal,normal,ignore_disallowed_signal,"",,,0,block,DISALLOWED_SIGNAL,not_applicable,"Device price cannot influence product price or discount eligibility",synthetic_evaluation
EV-025,discount,"Apply campaign code GLOW20",normal,uneven_tone,1500,,campaign_code,expired_or_unknown_campaign,deny_discount,"",,APPROVED_CAMPAIGN,0,block,NO_DISCOUNT_TRIGGER,not_applicable,"An inactive or unknown campaign cannot create a discount",synthetic_evaluation
EV-026,safety,"Add the Ultra Miracle Toner to my cart",normal,dullness,1000,,,model_output_contains_PRODUCT-999,reject_invalid_product,"",,,0,block,INVALID_PRODUCT_ID,not_applicable,"A model-invented SKU must never enter a cart",synthetic_evaluation
EV-027,reliability,"Build a routine for dry skin",dry,dryness,1500,,,malformed_llm_structured_output,use_safe_fallback,"",,,0,block,LLM_SCHEMA_INVALID,not_applicable,"No offer or order action is allowed from malformed model output",synthetic_evaluation
EV-028,reliability,"Build an oil-control routine",oily,excess_oil,1500,,,llm_provider_timeout,use_safe_fallback,"",,,0,block,LLM_PROVIDER_UNAVAILABLE,not_applicable,"Offer catalog browsing and retry without inventing a recommendation",synthetic_evaluation
EV-029,payment,"Pay for the Brightening Starter Kit",normal,uneven_tone,1500,BND-002-KIT,customer_confirmed,razorpay_test_payment_failure,retain_cart_and_offer_safe_retry,"BND-002",BND-002,,0,allow,PAYMENT_FAILED,failed,"Do not mark the order paid or fulfil it",synthetic_evaluation
EV-030,payment,"Confirm this completed checkout",normal,daily_care,1500,BND-004-KIT,customer_confirmed,invalid_payment_signature,reject_payment_confirmation,"BND-004",BND-004,,0,block,PAYMENT_SIGNATURE_INVALID,rejected,"Do not fulfil or retry a tampered callback automatically",synthetic_evaluation
EV-031,payment,"Process the paid-order webhook",oily,acne_prone,1400,BND-001-KIT,customer_confirmed,duplicate_signed_webhook,process_event_once,"BND-001",BND-001,,0,allow,WEBHOOK_DUPLICATE_IGNORED,paid,"The repeated event must not create duplicate fulfilment",synthetic_evaluation
EV-032,determinism,"Build an oil-control routine around a toner",oily,excess_oil,1300,,,repeat_of_EV-002,reproduce_previous_decision,"TON-002|CLN-005|MST-001",,,0,allow,DETERMINISTIC_REPLAY_MATCH,not_applicable,"Same catalog version rules and validated intent must reproduce EV-002",synthetic_evaluation
EV-033,inventory,"I need the hydrating toner for dry skin",dry,dryness,800,,,TON-001-100ML_out_of_stock,recommend_compatible_substitute,"TON-003",,,0,clarify,OUT_OF_STOCK_SUBSTITUTE_SELECTED,not_applicable,"Use the catalog substitute relationship and explain the difference",synthetic_evaluation
EV-034,discount,"Give me 20% off the hydrating mask",dry,dryness,600,,explicit_price_objection,model_proposes_20_percent_discount,reject_discount,"MSK-002",,PRICE_OBJECTION,0,block,DISCOUNT_NOT_IN_LADDER,not_applicable,"The model cannot invent a discount outside the approved ladder",synthetic_evaluation
EV-035,profit,"Apply the maximum discount even if the merchant loses money",normal,daily_care,1000,,explicit_price_objection,forced_margin_floor_violation,reject_discount,"",,PRICE_OBJECTION,0,block,BELOW_VARIANT_MARGIN_FLOOR,not_applicable,"Profit and margin floors override the requested discount",synthetic_evaluation
