product_id,routine_step,routine_order,product_format,declared_actives,supported_skin_types,supported_concerns,usage_period,usage_frequency,daytime_spf_rule,recommendation_mode,exclusion_flags,customer_warning,ingredient_data_status,safety_source_url,review_status
SRM-007,treat,3,leave_on_serum,peptides_unspecified,"normal|dry|mature","firmness_appearance|barrier_support",morning_or_evening,as_label_directed,recommended,standard,,"Peptide type concentration and full formulation are not yet provided",declared_from_name,,draft_expert_review
MST-001,moisturize,4,gel_moisturizer,not_provided,"oily|combination","light_hydration|barrier_support",morning_and_evening,as_label_directed,none,standard,,"Non-comedogenic status must be confirmed before making that claim",not_provided,"https://www.aad.org/public/diseases/acne/skin-care/moisturizer",draft_expert_review
MST-002,moisturize,4,cream_moisturizer,ceramides_unspecified,"dry|sensitive|normal","dryness|barrier_support",morning_and_evening,as_label_directed,none,standard,,"Full ingredient list and fragrance status are not yet provided",declared_from_name,,draft_expert_review
MST-003,moisturize,4,rich_cream,not_provided,"dry|dehydrated","deep_hydration|dryness",morning_and_evening,as_label_directed,none,standard,"very_oily_skin_if_heavy_texture_is_unwanted","Rich texture suitability should be explained rather than treated as a safety claim",not_provided,,draft_expert_review
MST-004,moisturize,4,lotion_or_gel,not_provided,"oily|combination|normal","daily_hydration|barrier_support",morning_and_evening,as_label_directed,none,standard,,"Oil-free claim comes from the product name; non-comedogenic status is not yet confirmed",not_provided,"https://www.aad.org/public/diseases/acne/skin-care/moisturizer",draft_expert_review
SUN-001,protect,5,sunscreen,uv_filters_unspecified_spf_50,"oily|combination","sun_protection|matte_finish",morning,reapply_as_label_directed,not_applicable,standard,,"Broad-spectrum water-resistance and test details are not yet provided",declared_from_name,,draft_expert_review
SUN-002,protect,5,sunscreen,uv_filters_unspecified_spf_50,"dry|normal","sun_protection|hydration",morning,reapply_as_label_directed,not_applicable,standard,,"Broad-spectrum water-resistance and test details are not yet provided",declared_from_name,,draft_expert_review
SUN-003,protect,5,sunscreen,uv_filters_unspecified_spf_50,"all","sun_protection|lightweight_finish",morning,reapply_as_label_directed,not_applicable,standard,,"Broad-spectrum water-resistance and test details are not yet provided",declared_from_name,,draft_expert_review
SUN-004,protect,5,mineral_sunscreen,mineral_uv_filters_unspecified_spf_50,"sensitive|dry|normal","sun_protection|sensitive_skin",morning,reapply_as_label_directed,not_applicable,standard,,"Exact mineral filters broad-spectrum status and test details are not yet provided",declared_from_name,,draft_expert_review
TON-001,tone_or_hydrate,2,leave_on_toner,hydrating_ingredients_not_provided,"dry|normal","hydration|dryness",morning_or_evening,as_label_directed,none,standard,,"Full ingredient list and fragrance status are not yet provided",not_provided,,draft_expert_review
TON-002,tone_or_treat,2,leave_on_toner,niacinamide_percentage_unspecified,"oily|combination","excess_oil|balanced_appearance",morning_or_evening,as_label_directed,recommended,standard,"duplicate_niacinamide_product","Niacinamide concentration and full formulation are not yet provided",declared_from_name,,draft_expert_review
TON-003,tone_or_soothe,2,leave_on_toner,centella_percentage_unspecified,"sensitive|dry|normal","soothing|hydration|barrier_support",morning_or_evening,as_label_directed,none,standard,"same_routine_exfoliant_for_sensitive_skin","Soothing language is cosmetic; the product is not a treatment for a medical skin condition",declared_from_name,,draft_expert_review
EXF-001,exfoliate,2,leave_on_exfoliant,lactic_acid_5_percent,"normal|dry","dullness|uneven_texture",evening,occasional_as_label_directed,required,clarify_first,"sensitive_or_irritated_skin|open_wounds|sunburn|same_routine_retinol|same_routine_exfoliant|same_routine_benzoyl_peroxide","Exfoliation is not suitable for everyone; avoid over-exfoliation and follow with moisturizer",declared_from_name,"https://www.aad.org/public/everyday-care/skin-care-secrets/routine/safely-exfoliate-at-home",draft_expert_review
EXF-002,exfoliate,2,leave_on_toner,glycolic_acid_7_percent,"normal|oily","dullness|uneven_texture",evening,occasional_as_label_directed,required,clarify_first,"sensitive_or_irritated_skin|open_wounds|sunburn|same_routine_retinol|same_routine_exfoliant|same_routine_benzoyl_peroxide","Glycolic acid may irritate sensitive skin; avoid over-exfoliation and follow with moisturizer",declared_from_name,"https://www.aad.org/public/everyday-care/skin-care-secrets/routine/safely-exfoliate-at-home",draft_expert_review
EXF-003,exfoliate,2,leave_on_exfoliant,salicylic_acid_2_percent,"oily|acne_prone","clogged_pores|blackheads|excess_oil",evening,occasional_as_label_directed,required,clarify_first,"sensitive_or_irritated_skin|open_wounds|sunburn|duplicate_salicylic_product|same_routine_retinol|same_routine_exfoliant|same_routine_benzoyl_peroxide","BHA may cause dryness or irritation; do not automatically stack it with other strong actives",declared_from_name,"https://www.aad.org/public/everyday-care/skin-care-secrets/routine/safely-exfoliate-at-home",draft_expert_review
ACN-001,spot_treat,3,spot_gel,active_ingredient_not_provided,"acne_prone","individual_spots",as_label_directed,as_label_directed,recommended,manual_review,"unknown_active_ingredient|same_routine_strong_active","The active ingredient is unknown so compatibility with retinol acids or benzoyl peroxide cannot be assumed",not_provided,,draft_expert_review
ACN-002,spot_treat,3,leave_on_gel,benzoyl_peroxide_percentage_unspecified,"acne_prone|oily","acne_prone",as_label_directed,start_slowly_as_label_directed,recommended,clarify_first,"sensitive_or_irritated_skin|same_routine_exfoliant|same_routine_retinol","Benzoyl peroxide may dry or irritate skin; pair with a suitable moisturizer and follow label directions",declared_from_name,"https://www.aad.org/public/diseases/acne/skin-care/moisturizer",draft_expert_review
MSK-001,mask,2,rinse_off_mask,oil_control_ingredients_not_provided,"oily|combination","excess_oil|clogged_pores_appearance",weekly_optional,occasional_as_label_directed,none,optional_only,"same_session_exfoliant|same_session_retinol","Mask actives are unknown; do not stack with retinol or acid exfoliants in the same session",not_provided,"https://www.aad.org/public/everyday-care/skin-care-secrets/routine/facial-masks-and-skin-care",draft_expert_review
MSK-002,mask,2,overnight_mask,hydrating_ingredients_not_provided,"dry|dehydrated|normal","overnight_hydration|dryness",evening,occasional_as_label_directed,none,optional_only,,"A mask is optional and does not replace cleansing moisturizing or daytime sun protection",not_provided,"https://www.aad.org/public/everyday-care/skin-care-secrets/routine/facial-masks-and-skin-care",draft_expert_review
MSK-003,mask,2,rinse_off_or_leave_on_unknown,brightening_ingredients_not_provided,"normal|dry|combination","dullness|uneven_tone_appearance",weekly_optional,occasional_as_label_directed,recommended,manual_review,"unknown_active_ingredient|same_session_strong_active","Form and active ingredients must be supplied before combining this mask with vitamin C retinol or acids",not_provided,"https://www.aad.org/public/everyday-care/skin-care-secrets/routine/facial-masks-and-skin-care",draft_expert_review
EYE-001,eye_care,3,eye_serum,caffeine_percentage_unspecified,"all","tired_under_eye_appearance",morning_or_evening,as_label_directed,none,optional_only,"direct_eye_contact","Cosmetic appearance claim only; avoid direct eye contact and follow the label",declared_from_name,,draft_expert_review
EYE-002,eye_care,4,eye_cream,hydrating_ingredients_not_provided,"all","under_eye_hydration",morning_or_evening,as_label_directed,none,optional_only,"direct_eye_contact","Avoid direct eye contact and follow the label",not_provided,,draft_expert_review
LIP-001,lip_care,4,lip_balm,ceramides_unspecified,"all","dry_lips|barrier_support",as_needed,as_label_directed,none,optional_only,,"Full ingredient list and allergy information are not yet provided",declared_from_name,,draft_expert_review
LIP-002,lip_care,5,spf_lip_balm,uv_filters_unspecified_spf_30,"all","lip_hydration|sun_protection",morning_or_as_needed,reapply_as_label_directed,not_applicable,optional_only,,"Broad-spectrum water-resistance and test details are not yet provided",declared_from_name,,draft_expert_review
BND-001,multi_step_bundle,0,three_product_kit,see_bundle_components,"oily|acne_prone","excess_oil|clogged_pores|starter_routine",component_dependent,see_component_labels,component_dependent,preconfigured_bundle,"sensitive_or_irritated_skin|duplicate_salicylic_product","Exact components are authoritative in bundle_components.csv; compatibility rules still apply",component_derived,,draft_expert_review
BND-002,multi_step_bundle,0,three_product_kit,see_bundle_components,"normal|dry|combination","dullness|uneven_tone|starter_routine",component_dependent,see_component_labels,component_dependent,preconfigured_bundle,"currently_irritated_skin","Exact components are authoritative in bundle_components.csv; sunscreen claims remain limited to supplied catalog data",component_derived,,draft_expert_review
BND-003,multi_step_bundle,0,three_product_kit,see_bundle_components,"dry|dehydrated","dryness|barrier_support|starter_routine",component_dependent,see_component_labels,component_dependent,preconfigured_bundle,,"Exact components are authoritative in bundle_components.csv",component_derived,,draft_expert_review
BND-004,multi_step_bundle,0,three_product_kit,see_bundle_components,"normal|combination","daily_cleansing|daily_hydration|sun_protection",component_dependent,see_component_labels,component_dependent,preconfigured_bundle,,"Exact components are authoritative in bundle_components.csv",component_derived,,draft_expert_review
BND-005,multi_step_bundle,0,three_product_kit,see_bundle_components,"oily|combination","excess_oil|visible_pores|sun_protection",component_dependent,see_component_labels,component_dependent,preconfigured_bundle,"duplicate_niacinamide_product","Exact components are authoritative in bundle_components.csv; compatibility rules still apply",component_derived,,draft_expert_review
