rule_id,source_product_id,target_product_id,relationship_type,directionality,skin_context,routine_context,priority_rank,safety_action,reason,source_url,data_status
PCR-020,SRM-003,CLN-001,complements,directional,dry_or_dehydrated,same_routine,90,allow,"A hydrating cleanser matches a dehydration-focused routine",,draft_expert_review
PCR-021,SRM-003,MST-002,complements,directional,dry_or_dehydrated,same_routine,100,allow,"Moisturizer after a hydrating serum helps complete the hydration routine",,draft_expert_review
PCR-022,SRM-003,SUN-002,complements,directional,dry_or_dehydrated,morning,90,allow,"Hydrating sunscreen completes daytime protection",,draft_expert_review
PCR-023,SRM-004,CLN-001,complements,directional,oily_or_clogged_pores,same_routine,85,allow,"A gentle cleanser avoids automatically stacking another salicylic cleanser with the salicylic serum",,draft_expert_review
PCR-024,SRM-004,MST-001,complements,directional,oily_or_clogged_pores,same_routine,100,allow,"An oil-free lightweight moisturizer may help limit dryness from acne-focused products","https://www.aad.org/public/diseases/acne/skin-care/moisturizer",draft_expert_review
PCR-025,SRM-004,SUN-001,complements,directional,oily_or_clogged_pores,morning,95,allow,"Matte sunscreen completes daytime protection for an oily-skin routine",,draft_expert_review
PCR-026,SRM-005,CLN-001,complements,directional,normal_or_mature,evening,90,allow,"A gentle cleanser is preferred before retinol",,draft_expert_review
PCR-027,SRM-005,MST-002,complements,directional,normal_or_dry,evening,100,allow,"Moisturizer can help reduce dryness and irritation associated with retinoid use","https://www.aad.org/public/everyday-care/skin-care-secrets/anti-aging/retinoid-retinol",draft_expert_review
PCR-028,SRM-005,SUN-004,complements,directional,all,morning,100,allow,"Daytime sun protection is a core companion to an evening retinol routine","https://www.aad.org/public/everyday-care/skin-care-secrets/anti-aging/retinoid-retinol",draft_expert_review
PCR-029,SRM-006,CLN-001,complements,directional,uneven_tone,same_routine,85,allow,"A gentle cleanser is a simple match for a tone-focused serum",,draft_expert_review
PCR-030,SRM-006,MST-002,complements,directional,uneven_tone,same_routine,85,allow,"A barrier moisturizer completes the routine after the serum",,draft_expert_review
PCR-031,SRM-006,SUN-003,complements,directional,uneven_tone,morning,100,allow,"Daily sunscreen is the preferred protection step for a tone-focused routine",,draft_expert_review
PCR-032,SRM-007,CLN-004,complements,directional,dry_or_mature,same_routine,85,allow,"A barrier cleanser pairs with a repair-focused serum",,draft_expert_review
PCR-033,SRM-007,MST-002,complements,directional,dry_or_mature,same_routine,100,allow,"A ceramide moisturizer completes a barrier-focused routine",,draft_expert_review
PCR-034,SRM-007,SUN-004,complements,directional,sensitive_or_mature,morning,90,allow,"Mineral sunscreen completes daytime protection",,draft_expert_review
PCR-035,EXF-001,CLN-001,complements,directional,normal_or_dry,evening,90,allow,"A gentle cleanser is preferred before an exfoliating step",,draft_expert_review
PCR-036,EXF-001,MST-002,complements,directional,normal_or_dry,evening,100,allow,"Moisturizer is recommended after exfoliation to reduce dryness","https://www.aad.org/public/everyday-care/skin-care-secrets/routine/safely-exfoliate-at-home",draft_expert_review
PCR-037,EXF-001,SUN-002,complements,directional,all,morning,95,allow,"A daytime sunscreen completes the routine around exfoliant use",,draft_expert_review
PCR-038,EXF-002,CLN-001,complements,directional,normal_or_oily,evening,90,allow,"A gentle cleanser avoids adding another exfoliating cleansing step",,draft_expert_review
PCR-039,EXF-002,MST-002,complements,directional,normal_or_dry,evening,100,allow,"Moisturizer is recommended after exfoliation to reduce dryness","https://www.aad.org/public/everyday-care/skin-care-secrets/routine/safely-exfoliate-at-home",draft_expert_review
PCR-040,EXF-002,SUN-003,complements,directional,all,morning,95,allow,"Daily sunscreen is the preferred protection step around exfoliant use",,draft_expert_review
PCR-041,EXF-003,CLN-001,complements,directional,oily_or_clogged_pores,evening,90,allow,"A gentle cleanser avoids automatically stacking another salicylic product",,draft_expert_review
PCR-042,EXF-003,MST-001,complements,directional,oily_or_clogged_pores,evening,100,allow,"An oil-free moisturizer may help limit dryness from salicylic acid","https://www.aad.org/public/diseases/acne/skin-care/moisturizer",draft_expert_review
PCR-043,EXF-003,SUN-001,complements,directional,oily_or_clogged_pores,morning,95,allow,"Matte sunscreen completes daytime protection",,draft_expert_review
PCR-044,MSK-001,CLN-005,optional_with,directional,oily_skin,weekly_optional,60,allow,"The clay mask is an optional oil-control step after cleansing",,draft_expert_review
PCR-045,MSK-001,MST-001,complements,directional,oily_skin,after_mask,75,allow,"A lightweight moisturizer completes the routine after the mask","https://www.aad.org/public/everyday-care/skin-care-secrets/routine/facial-masks-and-skin-care",draft_expert_review
PCR-046,MSK-002,CLN-001,optional_with,directional,dry_or_dehydrated,weekly_optional,65,allow,"A hydrating mask is an optional addition after gentle cleansing",,draft_expert_review
PCR-047,MSK-002,MST-002,complements,directional,dry_or_dehydrated,after_mask,80,allow,"A barrier moisturizer can follow the mask as part of the normal routine","https://www.aad.org/public/everyday-care/skin-care-secrets/routine/facial-masks-and-skin-care",draft_expert_review
PCR-048,MSK-003,CLN-001,optional_with,directional,dull_or_uneven_tone,weekly_optional,55,clarify,"The mask is optional and its active ingredients should be checked before combining with other actives","https://www.aad.org/public/everyday-care/skin-care-secrets/routine/facial-masks-and-skin-care",draft_expert_review
PCR-049,ACN-001,CLN-001,complements,directional,acne_prone,same_routine,80,allow,"A gentle cleanser is the safest default before an unspecified spot-treatment formula",,draft_expert_review
PCR-050,ACN-001,MST-001,complements,directional,acne_prone,same_routine,90,allow,"An oil-free moisturizer completes the acne-prone routine",,draft_expert_review
PCR-051,ACN-001,SUN-001,complements,directional,acne_prone,morning,90,allow,"A non-heavy sunscreen completes daytime protection",,draft_expert_review
PCR-052,ACN-002,CLN-001,complements,directional,acne_prone,same_routine,85,allow,"A gentle cleanser avoids automatically stacking another acne active",,draft_expert_review
PCR-053,ACN-002,MST-001,complements,directional,acne_prone,same_routine,100,allow,"Moisturizer may help limit dryness and irritation associated with benzoyl peroxide","https://www.aad.org/public/diseases/acne/skin-care/moisturizer",draft_expert_review
PCR-054,ACN-002,SUN-001,complements,directional,acne_prone,morning,95,allow,"A non-heavy sunscreen completes daytime protection",,draft_expert_review
PCR-055,CLN-001,CLN-004,substitute_for,bidirectional,dry_or_sensitive,same_step,60,allow,"Both products fill a gentle cleansing role for dry or sensitive routines",,draft_expert_review
PCR-056,CLN-002,CLN-005,substitute_for,bidirectional,oily_or_acne_prone,same_step,60,clarify,"Both products target oily skin but the salicylic option adds an exfoliating active",,draft_expert_review
PCR-057,MST-001,MST-004,substitute_for,bidirectional,oily_or_combination,same_step,60,allow,"Both products fill a lightweight moisturizer role",,draft_expert_review
PCR-058,MST-002,MST-003,substitute_for,bidirectional,dry_or_dehydrated,same_step,60,allow,"Both products fill a richer hydration role with different positioning",,draft_expert_review
PCR-059,SUN-001,SUN-003,substitute_for,bidirectional,oily_or_combination,same_step,60,allow,"Both products provide SPF 50 in lightweight formats",,draft_expert_review
PCR-060,TON-001,TON-003,substitute_for,bidirectional,dry_or_sensitive,same_step,55,clarify,"Both products emphasize hydration but the centella toner is positioned for sensitive-looking skin",,draft_expert_review
PCR-061,SRM-005,EXF-001,caution_same_routine,bidirectional,all,alternate_routines,0,separate_use,"Retinol and exfoliation can both increase irritation so they must not be auto-bundled for the same routine","https://www.aad.org/public/everyday-care/skin-care-secrets/routine/safely-exfoliate-at-home",draft_expert_review
PCR-062,SRM-005,EXF-002,caution_same_routine,bidirectional,all,alternate_routines,0,separate_use,"Retinol and glycolic exfoliation can both increase irritation so they must not be auto-bundled for the same routine","https://www.aad.org/public/everyday-care/skin-care-secrets/routine/safely-exfoliate-at-home",draft_expert_review
PCR-063,SRM-005,EXF-003,caution_same_routine,bidirectional,all,alternate_routines,0,separate_use,"Retinol and BHA exfoliation can both increase irritation so they must not be auto-bundled for the same routine","https://www.aad.org/public/everyday-care/skin-care-secrets/routine/safely-exfoliate-at-home",draft_expert_review
PCR-064,SRM-005,ACN-002,caution_same_routine,bidirectional,all,alternate_routines,0,separate_use,"Retinol and benzoyl peroxide can be irritating in an unsupervised routine so this catalog must not combine them automatically","https://www.aad.org/public/everyday-care/skin-care-secrets/routine/safely-exfoliate-at-home",draft_expert_review
PCR-065,SRM-005,SRM-004,caution_same_routine,bidirectional,all,alternate_routines,0,separate_use,"Retinol and salicylic acid can increase irritation when layered so automatic same-routine bundling is blocked","https://www.aad.org/public/everyday-care/skin-care-secrets/routine/safely-exfoliate-at-home",draft_expert_review
PCR-066,EXF-001,EXF-002,caution_same_routine,bidirectional,all,alternate_routines,0,block_auto_bundle,"Multiple exfoliating acids should not be automatically combined in one routine","https://www.aad.org/public/everyday-care/skin-care-secrets/routine/safely-exfoliate-at-home",draft_expert_review
PCR-067,EXF-001,EXF-003,caution_same_routine,bidirectional,all,alternate_routines,0,block_auto_bundle,"Multiple exfoliating acids should not be automatically combined in one routine","https://www.aad.org/public/everyday-care/skin-care-secrets/routine/safely-exfoliate-at-home",draft_expert_review
PCR-068,EXF-002,EXF-003,caution_same_routine,bidirectional,all,alternate_routines,0,block_auto_bundle,"Multiple exfoliating acids should not be automatically combined in one routine","https://www.aad.org/public/everyday-care/skin-care-secrets/routine/safely-exfoliate-at-home",draft_expert_review
PCR-069,CLN-002,SRM-004,redundant_active,bidirectional,oily_or_acne_prone,same_routine,0,clarify,"Both products contain salicylic acid so the engine must not stack them without an explicit suitability check","https://dermnetnz.org/topics/salicylic-acid",draft_expert_review
PCR-070,CLN-002,EXF-003,redundant_active,bidirectional,oily_or_acne_prone,same_routine,0,block_auto_bundle,"Both products contain salicylic acid and should not be automatically bundled together","https://dermnetnz.org/topics/salicylic-acid",draft_expert_review
PCR-071,SRM-004,EXF-001,caution_same_routine,bidirectional,all,alternate_routines,0,separate_use,"Stacking salicylic serum with another exfoliating acid may increase irritation","https://www.aad.org/public/everyday-care/skin-care-secrets/routine/safely-exfoliate-at-home",draft_expert_review
PCR-072,SRM-004,EXF-002,caution_same_routine,bidirectional,all,alternate_routines,0,separate_use,"Stacking salicylic serum with another exfoliating acid may increase irritation","https://www.aad.org/public/everyday-care/skin-care-secrets/routine/safely-exfoliate-at-home",draft_expert_review
PCR-073,SRM-004,EXF-003,redundant_active,bidirectional,all,alternate_routines,0,block_auto_bundle,"Both products are salicylic leave-on treatments and must not be automatically combined",,draft_expert_review
PCR-074,SRM-004,ACN-002,caution_same_routine,bidirectional,acne_prone,alternate_routines,0,separate_use,"Salicylic acid and benzoyl peroxide may increase dryness or irritation when combined without guidance","https://www.aad.org/public/diseases/acne/skin-care/moisturizer",draft_expert_review
PCR-075,ACN-002,EXF-001,caution_same_routine,bidirectional,all,alternate_routines,0,separate_use,"Benzoyl peroxide and exfoliation may worsen dryness or irritation","https://www.aad.org/public/everyday-care/skin-care-secrets/routine/safely-exfoliate-at-home",draft_expert_review
PCR-076,ACN-002,EXF-002,caution_same_routine,bidirectional,all,alternate_routines,0,separate_use,"Benzoyl peroxide and glycolic exfoliation may worsen dryness or irritation","https://www.aad.org/public/everyday-care/skin-care-secrets/routine/safely-exfoliate-at-home",draft_expert_review
PCR-077,ACN-002,EXF-003,caution_same_routine,bidirectional,all,alternate_routines,0,separate_use,"Benzoyl peroxide and BHA exfoliation may worsen dryness or irritation","https://www.aad.org/public/everyday-care/skin-care-secrets/routine/safely-exfoliate-at-home",draft_expert_review
PCR-078,MSK-001,EXF-001,caution_same_routine,bidirectional,all,alternate_sessions,0,separate_use,"An oil-control mask should not be stacked with an acid exfoliant in the same session","https://www.aad.org/public/everyday-care/skin-care-secrets/routine/facial-masks-and-skin-care",draft_expert_review
PCR-079,MSK-001,EXF-002,caution_same_routine,bidirectional,all,alternate_sessions,0,separate_use,"An oil-control mask should not be stacked with an acid exfoliant in the same session","https://www.aad.org/public/everyday-care/skin-care-secrets/routine/facial-masks-and-skin-care",draft_expert_review
PCR-080,MSK-001,EXF-003,caution_same_routine,bidirectional,all,alternate_sessions,0,separate_use,"An oil-control mask should not be stacked with a BHA exfoliant in the same session","https://www.aad.org/public/everyday-care/skin-care-secrets/routine/facial-masks-and-skin-care",draft_expert_review
PCR-081,MSK-001,SRM-005,caution_same_routine,bidirectional,all,alternate_sessions,0,separate_use,"A mask with potentially drying ingredients should not be automatically combined with retinol in the same session","https://www.aad.org/public/everyday-care/skin-care-secrets/routine/facial-masks-and-skin-care",draft_expert_review
PCR-082,ACN-001,SRM-004,requires_review,bidirectional,acne_prone,unknown,0,manual_review,"The spot treatment's active ingredient is unspecified so compatibility with salicylic serum cannot be assumed",,draft_expert_review
PCR-083,ACN-001,SRM-005,requires_review,bidirectional,acne_prone,unknown,0,manual_review,"The spot treatment's active ingredient is unspecified so compatibility with retinol cannot be assumed",,draft_expert_review
PCR-084,ACN-001,EXF-001,requires_review,bidirectional,acne_prone,unknown,0,manual_review,"The spot treatment's active ingredient is unspecified so compatibility with an exfoliant cannot be assumed",,draft_expert_review
PCR-085,ACN-001,EXF-002,requires_review,bidirectional,acne_prone,unknown,0,manual_review,"The spot treatment's active ingredient is unspecified so compatibility with an exfoliant cannot be assumed",,draft_expert_review
PCR-086,ACN-001,EXF-003,requires_review,bidirectional,acne_prone,unknown,0,manual_review,"The spot treatment's active ingredient is unspecified so compatibility with an exfoliant cannot be assumed",,draft_expert_review
PCR-087,ACN-001,ACN-002,requires_review,bidirectional,acne_prone,unknown,0,manual_review,"The unspecified spot treatment must not be layered with benzoyl peroxide until its active ingredient is known",,draft_expert_review
PCR-088,TON-003,EXF-002,caution_same_routine,bidirectional,sensitive_skin,alternate_routines,0,block_auto_bundle,"Glycolic exfoliation may irritate sensitive skin and must not be automatically added to a soothing routine","https://www.aad.org/public/everyday-care/skin-care-secrets/routine/safely-exfoliate-at-home",draft_expert_review
PCR-089,TON-003,EXF-003,caution_same_routine,bidirectional,sensitive_skin,alternate_routines,0,block_auto_bundle,"BHA exfoliation may irritate sensitive skin and must not be automatically added to a soothing routine","https://www.aad.org/public/everyday-care/skin-care-secrets/routine/safely-exfoliate-at-home",draft_expert_review
PCR-090,CLN-002,SRM-001,complements,bidirectional,oily_or_acne_prone,same_routine,100,allow,"The salicylic cleanser and niacinamide serum are the declared cleanse-and-treat steps in the acne starter routine",,draft_expert_review
PCR-091,CLN-002,MST-001,complements,bidirectional,oily_or_acne_prone,same_routine,95,allow,"The lightweight gel moisturizer completes the declared acne starter routine after cleansing",,draft_expert_review
PCR-092,CLN-001,SUN-003,complements,bidirectional,normal_or_combination,morning,90,allow,"The gentle cleanser and SPF 50 sunscreen form compatible cleanse-and-protect steps in the declared starter routines",,draft_expert_review
PCR-093,CLN-001,MST-002,complements,bidirectional,dry_or_sensitive,same_routine,95,allow,"The barrier moisturizer completes the hydration routine after gentle cleansing",,draft_expert_review
PCR-094,CLN-001,MST-004,complements,bidirectional,normal_or_combination,same_routine,90,allow,"The daily moisturizer completes a simple routine after gentle cleansing",,draft_expert_review
PCR-095,MST-004,SUN-003,complements,bidirectional,normal_or_combination,morning,90,allow,"The daily moisturizer and SPF 50 sunscreen complete the moisturize-and-protect steps in the declared essentials routine",,draft_expert_review
PCR-096,CLN-005,SUN-001,complements,bidirectional,oily_or_combination,morning,90,allow,"The oil-control cleanser and matte sunscreen form the cleanse-and-protect steps in the declared oily-skin routine",,draft_expert_review
